Age,Gender,Handedness,Sample,mean.correct.total,mean.RT.NoOutlier.con,mean.RT.NoOutlier.incon,mean.err.con,mean.err.incon
26.0,2,2,2,0.88,551.7308324697070,670.5664576480260,0.020000000000000000,0.22000000000000000
27.0,1,2,2,0.95,484.7616894531250,559.2817599826390,0.0,0.10000000000000000
41.0,1,2,2,0.98,519.2938690185550,567.0316845703120,0.040000000000000000,0.0
45.0,1,2,2,0.96,666.5176798502600,739.2135487432060,0.040000000000000000,0.040000000000000000
28.0,2,2,2,0.99,494.4474649234690,550.48259765625,0.020000000000000000,0.0
41.0,1,2,2,1.0,964.173383789062,1011.578301612370,0.0,0.0
49.0,2,1,2,1.0,637.5482958984370,673.4009912109370,0.0,0.0
37.0,2,2,2,0.99,612.908408203125,674.0884195963540,0.0,0.020000000000000000
69.0,2,2,2,0.98,1041.9253076171900,1122.3188712827600,0.0,0.040000000000000000
45.0,1,2,2,0.99,521.8468391262760,623.4805883290820,0.020000000000000000,0.0
29.0,1,1,2,0.99,532.853310546875,568.7893676757810,0.0,0.020000000000000000
32.0,2,1,2,1.0,526.0551904296880,594.5893896484380,0.0,0.0
38.0,2,2,2,0.96,580.9711365991710,619.5132207455840,0.020000000000000000,0.06000000000000010
45.0,1,2,2,0.92,529.7375748005320,575.5261393229170,0.06000000000000010,0.10000000000000000
43.0,1,2,2,1.0,679.5153173828130,776.3682128906250,0.0,0.0
34.0,1,2,2,1.0,832.0411962890620,928.1904192985360,0.0,0.0
31.0,1,2,2,0.99,847.2181720344380,941.0524107467290,0.020000000000000000,0.0
42.0,1,2,2,1.0,522.8461035156250,580.9600830078130,0.0,0.0
31.0,2,2,2,1.0,503.4589306640630,607.6976416015620,0.0,0.0
29.0,1,2,2,0.95,565.5864506935590,623.185982082201,0.020000000000000000,0.08000000000000000
33.0,1,2,2,1.0,580.7228906250000,596.9086558024090,0.0,0.0
47.0,2,2,2,1.0,947.7133984374990,937.7932617187490,0.0,0.0
39.0,1,2,2,1.0,779.6320068359370,761.4636279296870,0.0,0.0
29.0,1,2,2,0.89,762.1516007133150,787.3145470252400,0.08000000000000000,0.14
29.0,1,2,2,0.95,740.416794797207,761.3286822775140,0.06000000000000010,0.040000000000000000
27.0,2,2,2,0.99,476.053056640625,520.7194525271050,0.0,0.020000000000000000
41.0,2,2,2,0.96,590.7464599609370,696.7929229736330,0.040000000000000000,0.040000000000000000
34.0,1,2,2,1.0,649.5062158203120,678.8342733577810,0.0,0.0
51.0,2,2,2,0.97,702.1210632324220,795.0251356336800,0.040000000000000000,0.020000000000000000
33.0,1,2,2,0.98,528.9301806640630,579.4938507080080,0.0,0.040000000000000000
44.0,2,2,2,1.0,568.2984130859380,609.937470703125,0.0,0.0
47.0,2,2,2,1.0,977.2046894929840,1024.834831393490,0.0,0.0
21.0,2,2,2,0.96,560.2944691975910,643.0501759847000,0.040000000000000000,0.040000000000000000
31.0,1,2,2,1.0,626.681201171875,656.4742382812500,0.0,0.0
46.0,1,2,2,1.0,487.5426220703130,547.8355029296870,0.0,0.0
48.0,1,2,2,0.98,577.3658837890630,633.5833485921220,0.0,0.040000000000000000
31.0,1,2,2,1.0,570.0318457031250,591.8123095703130,0.0,0.0
44.0,1,2,2,0.98,787.4591406250000,788.3785665760870,0.0,0.040000000000000000
24.0,1,2,2,0.99,664.6947607421870,711.7372698102680,0.0,0.020000000000000000
40.0,1,2,2,0.98,549.3480908203120,584.6368815104170,0.0,0.040000000000000000
24.0,1,2,2,0.98,466.07044921875,446.0051321476060,0.0,0.040000000000000000
26.0,2,2,2,0.96,526.441582862367,534.7440160634570,0.06000000000000010,0.020000000000000000
49.0,2,2,2,0.97,525.8126395089290,614.0546773274740,0.020000000000000000,0.040000000000000000
34.0,2,2,2,0.94,639.1644810267860,856.0980779474430,0.020000000000000000,0.10000000000000000
40.0,2,2,2,1.0,760.3196777343750,744.481611328125,0.0,0.0
49.0,2,2,2,0.98,543.40919921875,601.9895782470700,0.0,0.040000000000000000
19.0,2,2,2,0.99,506.2792041015630,619.4752072704080,0.0,0.020000000000000000
32.0,1,2,2,0.97,1209.5047931281900,984.8168199327250,0.020000000000000000,0.040000000000000000
50.0,2,2,2,0.97,649.9066060384110,722.1216684977210,0.040000000000000000,0.020000000000000000
32.0,1,2,2,0.98,475.3523397640310,487.24114616549700,0.020000000000000000,0.020000000000000000
55.0,1,2,2,0.98,768.1643994140620,732.8950144449870,0.0,0.040000000000000000
46.0,2,2,2,1.0,522.3345068359370,595.1805078125,0.0,0.0
39.0,2,2,2,0.98,588.1265185546870,672.4135386149090,0.0,0.040000000000000000
32.0,1,1,2,0.97,541.6686572265630,624.5566146525930,0.0,0.06000000000000010
38.0,1,2,2,0.98,496.72133589764000,555.6501016422190,0.020000000000000000,0.020000000000000000
42.0,2,2,2,0.98,535.2368214925130,580.6522989078440,0.040000000000000000,0.0
33.0,2,2,2,0.98,583.3290354410810,633.6965869140630,0.040000000000000000,0.0
27.0,2,2,2,0.97,612.7696209343110,661.521569293478,0.020000000000000000,0.040000000000000000
37.0,1,2,2,0.98,812.3790588378910,788.7254101562500,0.040000000000000000,0.0
35.0,2,2,2,0.98,550.197245695153,617.8422452965560,0.020000000000000000,0.020000000000000000
45.0,2,2,2,0.95,506.38153985206100,560.7893676757810,0.06000000000000010,0.040000000000000000
38.0,2,2,2,0.99,495.8582688934950,571.71330078125,0.020000000000000000,0.0
47.0,1,2,2,1.0,714.6054589843750,679.934765625,0.0,0.0
33.0,1,2,2,0.96,585.7280792885640,662.374003507653,0.06000000000000010,0.020000000000000000
45.0,2,2,2,1.0,615.9822119140630,701.4275146484370,0.0,0.0
35.0,1,2,2,1.0,534.7402978515620,584.2966943359370,0.0,0.0
43.0,2,2,2,0.98,524.65125,543.3581179355050,0.0,0.040000000000000000
26.0,2,2,2,0.99,813.5318329480230,800.4921722412110,0.020000000000000000,0.0
41.0,1,2,2,0.95,537.3871621890940,588.4264924422550,0.020000000000000000,0.08000000000000000
36.0,1,2,2,0.98,432.2196337890630,456.474614461263,0.0,0.040000000000000000
41.0,1,2,2,0.91,631.5239969889320,707.0118947583570,0.040000000000000000,0.14
36.0,1,2,2,0.97,694.784702845982,721.4010659075800,0.020000000000000000,0.040000000000000000
40.0,2,2,2,1.0,595.559248046875,622.2688039143880,0.0,0.0
44.0,2,2,2,0.98,1191.6624704996700,955.9236103779550,0.040000000000000000,0.0
45.0,2,1,2,0.98,630.0949169921870,660.2150099734040,0.0,0.040000000000000000
22.0,1,2,2,0.96,539.2474738919010,569.9117717337100,0.020000000000000000,0.06000000000000010
46.0,1,2,2,1.0,596.98029296875,630.0385986328130,0.0,0.0
45.0,2,2,2,0.96,585.4611118861610,635.2989424035900,0.020000000000000000,0.06000000000000010
26.0,2,2,2,0.97,793.2568652343750,814.1081976996530,0.0,0.06000000000000010
40.0,2,2,2,1.0,578.2737744140630,612.7678125,0.0,0.0
43.0,2,2,2,0.99,603.237177734375,695.1000671386720,0.0,0.020000000000000000
52.0,1,2,2,0.96,483.15052734375,476.1467125934100,0.0,0.08000000000000000
33.0,1,2,2,0.97,542.9818674723310,589.5659329161350,0.040000000000000000,0.020000000000000000
36.0,2,2,2,0.99,687.6641113281250,789.0379580543150,0.0,0.020000000000000000
57.0,1,2,2,0.98,601.4995764907530,667.9240971779340,0.020000000000000000,0.020000000000000000
38.0,2,2,2,0.99,557.8808294802300,627.9481591796870,0.020000000000000000,0.0
30.0,1,2,2,0.97,626.8963398836100,705.4350128173830,0.020000000000000000,0.040000000000000000
30.0,2,2,2,0.99,514.4874790736610,585.4953125,0.020000000000000000,0.0
42.0,1,2,2,1.0,526.4982421875,632.1632568359380,0.0,0.0
49.0,1,2,2,0.97,629.3192562181120,732.4194803440820,0.020000000000000000,0.040000000000000000
33.0,1,2,2,0.95,474.557367960612,529.0451140708110,0.040000000000000000,0.06000000000000010
36.0,2,2,2,0.99,719.4487988281250,862.8107350667310,0.0,0.020000000000000000
32.0,2,2,2,0.99,565.710185546875,592.365309111926,0.0,0.020000000000000000
37.0,1,2,2,0.96,796.5106382978720,728.1136363636360,0.020000000000000000,0.06000000000000010
45.0,2,2,2,1.0,608.4400146484380,636.2952258051660,0.0,0.0
43.0,2,2,2,0.99,555.0161282286350,568.16400390625,0.020000000000000000,0.0
43.0,1,2,2,0.99,540.11140625,538.4738221460460,0.0,0.020000000000000000
28.0,2,2,2,0.94,637.4014485677080,707.6938051970110,0.040000000000000000,0.08000000000000000
36.0,2,2,2,1.0,477.54017578125,531.9301209741710,0.0,0.0
20.0,2,2,1,1.0,407.7810302734380,416.6132275390630,0.0,0.0
20.0,1,2,1,0.92,408.61553446451800,444.8607546784160,0.040000000000000000,0.12
21.0,1,2,1,0.97,425.19269531250000,423.5031114943480,0.0,0.06000000000000010
21.0,2,2,1,0.98,499.30310805963,542.0964654416450,0.020000000000000000,0.020000000000000000
23.0,1,2,1,0.97,464.46863810221400,540.1984414859690,0.040000000000000000,0.020000000000000000
20.0,2,2,1,0.98,521.347412109375,571.7947947184240,0.0,0.040000000000000000
20.0,1,2,1,0.97,484.69617716471400,498.0631626674110,0.040000000000000000,0.020000000000000000
20.0,2,2,1,0.99,509.0931738281250,544.9243712133290,0.0,0.020000000000000000
19.0,2,2,1,0.93,528.0966348453440,599.1488980379970,0.020000000000000000,0.12
20.0,2,2,1,0.81,735.5876151842950,766.9644112723210,0.22000000000000000,0.16000000000000000
22.0,1,1,1,0.97,511.2381083170570,552.0559978874360,0.040000000000000000,0.020000000000000000
19.0,1,2,1,0.91,402.9704165251360,423.20712890625,0.08000000000000000,0.10000000000000000
19.0,2,2,1,1.0,574.2251562500000,554.1142236328130,0.0,0.0
19.0,2,1,1,0.99,487.82959960937500,511.878662109375,0.0,0.020000000000000000
21.0,1,2,1,0.95,673.1773108657530,694.009160580842,0.020000000000000000,0.08000000000000000
20.0,1,2,1,1.0,600.5579541015630,680.1132912149230,0.0,0.0
20.0,1,2,1,0.96,540.2563825334820,483.14830244348400,0.020000000000000000,0.06000000000000010
20.0,1,2,1,0.98,619.5153708944520,666.2590179443360,0.020000000000000000,0.020000000000000000
20.0,2,2,1,0.95,657.6980712890630,740.2861870659720,0.0,0.10000000000000000
18.0,1,2,1,0.98,446.338603515625,465.67771402994800,0.0,0.040000000000000000
18.0,1,1,1,0.97,661.9827880859370,684.4736175537110,0.040000000000000000,0.020000000000000000
20.0,2,2,1,0.94,529.0016442123720,573.0876573350690,0.020000000000000000,0.10000000000000000
20.0,1,2,1,1.0,462.6210888671880,522.616298828125,0.0,0.0
19.0,1,2,1,0.98,511.7300923665360,547.5710009765630,0.040000000000000000,0.0
20.0,1,2,1,0.99,476.95585538903100,505.9725537109380,0.020000000000000000,0.0
21.0,2,2,1,0.97,476.85874720982100,511.96216837565100,0.020000000000000000,0.040000000000000000
18.0,2,2,1,0.98,455.4147119140630,537.1914113362630,0.0,0.040000000000000000
19.0,2,2,1,0.89,509.9597524007160,593.1419171589180,0.040000000000000000,0.18000000000000000
19.0,1,2,1,0.96,558.124072265625,534.5458294412360,0.0,0.08000000000000000
20.0,1,2,1,0.97,520.3588002522790,591.7243951291450,0.040000000000000000,0.020000000000000000
22.0,2,1,1,1.0,648.980888671875,725.8141342474490,0.0,0.0
19.0,2,2,1,0.97,635.8657434341750,676.2303515625000,0.06000000000000010,0.0
19.0,2,2,1,0.92,555.1935628255210,583.6497490461480,0.040000000000000000,0.12
19.0,2,1,1,0.98,500.6045849609380,546.2611006067150,0.0,0.040000000000000000
19.0,2,2,1,0.89,464.2974742542610,490.3930392795140,0.12,0.10000000000000000
21.0,1,2,1,1.0,489.154794921875,515.3999365234380,0.0,0.0
19.0,2,2,1,0.95,535.6428019205730,572.7654224152260,0.040000000000000000,0.06000000000000010
19.0,1,2,1,0.99,490.3561114875640,558.1646902901780,0.020000000000000000,0.0
19.0,2,2,1,0.96,572.0969487404340,651.4776273686830,0.020000000000000000,0.06000000000000010
21.0,1,1,1,1.0,496.48260742187500,528.454345703125,0.0,0.0
18.0,2,2,1,0.98,481.55408203125000,499.55798599567800,0.0,0.040000000000000000
19.0,2,2,1,0.93,482.1021423339840,478.7333170572920,0.040000000000000000,0.10000000000000000
20.0,2,2,1,1.0,496.6436328125,581.73763671875,0.0,0.0
19.0,1,2,1,0.99,688.0309716796870,788.6439283721300,0.0,0.020000000000000000
21.0,1,2,1,0.99,759.9238427734370,764.1876395089280,0.0,0.020000000000000000
20.0,2,2,1,0.96,457.18349609375,475.9575354534650,0.0,0.08000000000000000
19.0,2,2,1,0.92,448.8200943317820,430.33101671006900,0.06000000000000010,0.10000000000000000
19.0,2,2,1,0.98,557.4047353316330,632.234449736926,0.020000000000000000,0.020000000000000000
20.0,2,2,1,1.0,463.7707275390630,510.53568359375,0.0,0.0
20.0,1,2,1,0.96,516.125298947704,515.4960833610370,0.020000000000000000,0.06000000000000010
19.0,2,1,1,0.83,386.1464010099090,433.3324497767860,0.18000000000000000,0.16000000000000000
18.0,1,2,1,1.0,598.924306640625,648.6081884765620,0.0,0.0
19.0,2,2,1,0.93,409.6432845744680,465.63652768342400,0.06000000000000010,0.08000000000000000
21.0,1,2,1,0.98,577.0000896843110,550.3045729033800,0.020000000000000000,0.020000000000000000
20.0,1,2,1,0.94,565.0777587890620,627.4832445227580,0.040000000000000000,0.08000000000000000
18.0,1,2,1,0.97,516.5862426757810,550.2963812934030,0.040000000000000000,0.020000000000000000
19.0,2,1,1,0.93,450.5883203125,481.82897097565400,0.0,0.14
20.0,2,2,1,0.95,410.31513572225800,423.8046078889270,0.020000000000000000,0.08000000000000000
19.0,1,2,1,0.93,437.0812676612370,500.5974811056390,0.06000000000000010,0.08000000000000000
21.0,1,2,1,0.91,426.5982432263960,498.9627962979400,0.06000000000000010,0.12
19.0,1,2,1,0.99,544.84248046875,529.5294015066960,0.0,0.020000000000000000
19.0,1,1,1,0.86,594.0817977241850,667.8147679379110,0.08000000000000000,0.20000000000000000
19.0,1,1,1,0.94,760.7828810671540,604.1392132302990,0.06000000000000010,0.06000000000000010
18.0,1,2,1,0.96,510.2773742675780,541.1773935953780,0.040000000000000000,0.040000000000000000
19.0,2,2,1,0.98,543.1008201132020,568.8617366868620,0.020000000000000000,0.020000000000000000
20.0,1,1,1,1.0,682.9537109375,680.2984893176020,0.0,0.0
20.0,1,2,1,0.97,502.42087890625,541.9665371509310,0.0,0.06000000000000010
19.0,1,2,1,0.99,501.9743353396050,555.907265625,0.020000000000000000,0.0
20.0,2,2,1,0.98,658.3018724091200,647.3830202792550,0.020000000000000000,0.020000000000000000
20.0,2,2,1,0.97,429.14830244348400,440.881904296875,0.06000000000000010,0.0
19.0,1,2,1,0.95,486.1577504475910,539.7189785571810,0.040000000000000000,0.06000000000000010
19.0,2,2,1,0.94,461.1334991455080,507.9997770889950,0.040000000000000000,0.08000000000000000
21.0,1,1,1,0.96,441.7720642089840,470.2286682128910,0.040000000000000000,0.040000000000000000
20.0,1,2,1,1.0,468.932919921875,578.4563720703130,0.0,0.0
20.0,2,2,1,0.92,451.9048399633290,510.6019656159160,0.020000000000000000,0.14
20.0,1,2,1,0.94,557.8653004964190,651.9871401579480,0.040000000000000000,0.08000000000000000
20.0,1,2,1,1.0,578.5109960937500,697.9634228515620,0.0,0.0
18.0,1,2,1,0.98,552.9123933753190,604.6721141581630,0.020000000000000000,0.020000000000000000
20.0,2,2,1,0.94,439.97363779496200,489.37689887152800,0.020000000000000000,0.10000000000000000
19.0,1,2,1,0.98,454.9413514429210,500.2196020009570,0.020000000000000000,0.020000000000000000
20.0,2,2,1,0.88,438.5977283824570,471.9194557883520,0.12,0.12
22.0,1,2,1,0.95,483.8183541805190,473.947026570638,0.06000000000000010,0.040000000000000000
19.0,1,2,1,0.96,747.1397959391270,835.8244628906240,0.040000000000000000,0.040000000000000000
22.0,1,2,1,0.95,616.4777566661010,634.2971403702450,0.06000000000000010,0.040000000000000000
21.0,2,2,1,1.0,508.2181005859380,557.761728515625,0.0,0.0
19.0,1,2,1,0.97,469.7509915098850,501.6572577293880,0.020000000000000000,0.040000000000000000
21.0,1,2,1,0.99,819.9925312898590,733.094594319661,0.020000000000000000,0.0
20.0,1,2,1,0.95,600.7148183186850,727.3629072473400,0.040000000000000000,0.06000000000000010
21.0,1,2,1,0.97,524.5381266276040,586.8819903938140,0.040000000000000000,0.020000000000000000
20.0,1,2,1,0.99,867.3204687499990,845.9685377038030,0.0,0.020000000000000000
18.0,1,2,1,1.0,499.4342919921870,573.5969238281250,0.0,0.0
18.0,1,2,1,0.95,496.1632752710460,539.211569081182,0.020000000000000000,0.08000000000000000
30.0,2,2,1,0.98,507.87224833170600,555.715888671875,0.040000000000000000,0.0
21.0,1,2,1,0.97,499.4984803491710,501.69407145182300,0.020000000000000000,0.040000000000000000
19.0,1,2,1,0.85,590.4486623364820,654.864036923363,0.14,0.16000000000000000
20.0,1,2,1,0.97,670.3157450358070,736.538619640261,0.0,0.06000000000000010
18.0,2,2,1,0.99,466.634892578125,516.9566824776790,0.0,0.020000000000000000
19.0,2,2,1,0.97,489.271708984375,504.21341526762000,0.0,0.06000000000000010
20.0,2,2,1,0.95,471.3001335299750,519.1238164487090,0.020000000000000000,0.08000000000000000
20.0,2,2,1,0.92,498.1895802815760,539.6619540127840,0.040000000000000000,0.12